year,month ,day,meanTemp,highTemp,highTempTime,lowTemp,lowTempTime,heatDegreeDays,coolDegreeDays,precip,meanWindSpeed_kmh,gustSpeed_kmh,timeGust,dominantWindDir
2005,6,29,19.8,25.1,2:00p,16.8,8:00a,0.3,1.8,25.9,1.3,19.3,12:00p,SSW
2005,6,30,19.8,24.1,12:00p,17.1,4:00a,0.2,1.6,0.8,2.1,22.5,12:00m,NNW
2005,7,1,20.2,24.7,4:00p,18.7,2:00a,0,1.9,2.5,0.4,4.5,4:00a,NNW
2005,7,2,19.7,26.3,10:00a,17.4,12:00m,0.2,1.5,26.2,0.8,7.6,10:00p,N
2005,7,3,21.4,26.1,2:00p,17.6,2:00a,0,3.1,0,0.5,4.9,2:00p,N
2005,7,4,20.8,26.6,2:00p,18.3,6:00a,0,2.4,0.3,0.1,3.6,2:00p,SSW
2005,7,5,21.2,26.4,12:00p,17.4,6:00a,0.1,2.9,0.3,0.4,4.5,4:00p,N
2005,7,6,20.4,27.8,2:00p,18.4,6:00a,0,2.1,7.4,0.4,5.4,12:00p,NNW
2005,7,7,20.2,25.9,2:00p,18.4,12:00m,0,1.8,15,0.5,5.8,10:00a,NNW
2005,7,8,21.3,26.3,2:00p,17.9,4:00a,0.1,3.1,8.4,0.2,3.6,2:00p,NNW
2005,7,9,20.6,25.3,12:00p,18.2,12:00m,0,2.2,112.3,0.5,4.9,10:00p,NNW
2005,7,10,20.2,26.6,4:00p,16.6,6:00p,0.2,2.1,39.1,0.4,8.5,6:00p,SSW
2005,7,11,19,24.1,10:00a,16.7,10:00p,0.4,1.1,15.2,0.8,5.8,8:00p,NNW
2005,7,12,20.1,24.9,2:00p,16.7,6:00a,0.2,2,0.3,0.7,5.4,12:00p,SSE
2005,7,13,19.4,25.6,10:00a,17.9,8:00p,0.1,1.1,12.4,0.4,4.9,12:00p,ENE
2005,7,14,18.4,23.7,12:00p,17.1,6:00a,0.4,0.6,22.6,0.8,5.8,2:00a,NNW
2005,7,15,19,23.3,12:00p,16.4,6:00a,0.4,1.1,5.8,0.5,5.8,12:00p,NNW
2005,7,16,20.2,24.9,10:00a,17,4:00a,0.3,2.2,8.6,0.1,4.9,2:00p,SSW
2005,7,17,20.7,25.4,12:00p,17.8,6:00a,0.1,2.4,10.9,0.4,5.4,8:00p,S
2005,7,18,19.9,24.1,2:00p,17.4,8:00p,0.1,1.6,33.8,0.8,5.4,6:00p,NNW
2005,7,19,19.5,25.2,12:00p,17.5,6:00a,0.3,1.4,21.1,0.6,4.5,4:00a,NNW
2005,7,20,19.2,22.8,2:00p,17.4,4:00a,0.2,1,6.6,0.7,5.4,2:00p,NNW
2005,7,21,20.1,24.7,10:00a,18.2,6:00a,0,1.7,2,0.8,6.3,12:00p,NW
2005,7,22,19.2,23.7,10:00a,17.3,6:00a,0.2,0.9,0,0.8,5.8,4:00p,NNW
2005,7,23,20.4,27.3,2:00p,17.3,4:00a,0.2,2.3,1,0.5,4.9,8:00a,SSE
2005,7,24,20.9,26.6,12:00p,17.9,4:00a,0,2.7,0,0.4,3.6,2:00a,NNW
2005,7,25,20.8,26.6,12:00p,18.3,6:00a,0,2.5,0.3,0.6,5.4,10:00p,NNW
2005,7,26,21,25.7,2:00p,18.4,6:00a,0,2.7,8.9,0.5,5.4,2:00p,NNW
2005,7,27,21.3,26.6,12:00p,18.9,6:00a,0,2.9,15.2,0.4,4.9,8:00p,S
2005,7,28,21.1,25.8,12:00p,17.3,8:00a,0,2.7,1.3,0.8,8,10:00a,N
2005,7,29,21,26.1,4:00p,18.7,6:00a,0,2.7,0,0.4,6.3,12:00m,N
2005,7,30,21.3,26.6,12:00p,18.2,6:00a,0,2.9,0.3,0.7,6.3,10:00p,NNW
2005,7,31,20.8,24.9,12:00p,18.5,6:00a,0,2.5,4.6,0.5,4.9,6:00a,NNW
2005,8,1,21.4,26.4,12:00p,18.5,6:00a,0,3.1,0,0.5,4.5,4:00a,NNW
